id,name,city,country,height,floors,year_completed
1,Burj Khalifa,Dubai,UAE,828,163,2010
2,Shanghai Tower,Shanghai,China,632,128,2015
3,Abraj Al-Bait Clock Tower,Mecca,Saudi Arabia,601,120,2012
4,Ping An Finance Centre,Shenzhen,China,599,115,2017
5,Lotte World Tower,Seoul,South Korea,555,123,2016
6,One World Trade Center,New York,USA,541,104,2014
7,Guangzhou CTF Finance Centre,Guangzhou,China,530,111,2016
8,Tianjin CTF Finance Centre,Tianjin,China,530,98,2019
9,CITIC Tower,Beijing,China,528,108,2018
10,Tapei 101,Taipei,Taiwan,508,101,2004
